Composite Socioeconomic Data for City Council Districts,,,,,,,,,,,,,,,,
American Community Survey data,,,,,,,,,,,,,,,,
2013 5-year Composite Datasets,,,,,,,,,,,,,,,,
Map of the Council Districts,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Data Item,,,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9,District 10,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Income,,, ,,,,,,,,,,,,,
    Median Family Income,,,"$42,150","$42,650","$36,185","$39,200","$77,250","$85,950","$74,250","$116,150","$81,535","$131,100",,,,
    Minimum Tract Value,,,"$24,118","$22,664","$18,465","$25,000","$27,320","$60,513","$37,841","$77,284","$10,886","$35,565",,,,
    Maximum Tract Value,,,"$86,000","$64,048","$87,969","$85,536","$121,012","$128,750","$110,272","$174,801","$250,000","$234,896",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Poverty,,,,,,,,,,,,,,,,
    Total Population,,,"77,807","80,004","79,573","79,357","81,532","82,381","80,520","77,650","79,299","80,839",,,,
    Indivuals Below Poverty,,,"21,512","19,859","28,940","24,730","9,771","5,211","10,368","3,797","25,784","6,285",,,,
      Povety Rate,,,27.6%,24.8%,36.4%,31.2%,12.0%,6.3%,12.9%,4.9%,32.5%,7.8%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Educational Attainment,,,,,,,,,,,,,,,,
    Adults Age 25 Plus,,,"47,945","45,494","44,655","46,130","57,993","55,771","57,487","52,414","39,465","58,613",,,,
    Number with at least a Bachelors Degree,,,"11,415","8,097","11,951","10,162","25,083","29,188","27,481","33,990","26,989","43,208",,,,
      Percent of Adults with a Bachelors,,,23.8%,17.8%,26.8%,22.0%,43.3%,52.3%,47.8%,64.8%,68.4%,73.7%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Journey to Work,,,,,,,,,,,,,,,,
  Drive Alone %,,,77.1%,73.4%,65.0%,65.8%,83.3%,87.5%,81.1%,89.5%,66.6%,86.3%,,,,
  Take Transit %,,,3.7%,4.0%,11.4%,7.4%,2.8%,1.5%,3.7%,0.8%,7.2%,4.1%,,,,
"  Active Journey (Walk, or Bike, or Other) %",,,3.9%,5.6%,10.3%,5.2%,4.5%,2.5%,3.5%,1.7%,19.4%,3.8%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Employment,,,,,,,,,,,,,,,,
    Unemployment Rate,,,8.9%,9.5%,10.0%,9.9%,6.7%,6.0%,6.7%,4.6%,8.7%,5.2%,,,,
    Labor Force Participation Rate,,,69.8%,72.5%,74.2%,75.5%,77.9%,77.4%,78.1%,72.0%,64.1%,71.0%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Health Insurance,,,,,,,,,,,,,,,,
      Percent without Health Insurance,,,29.2%,29.6%,32.3%,38.9%,18.4%,13.5%,19.4%,8.1%,14.7%,7.8%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
